country,continent,capital
Saint Lucia,North America,Castries
Saint Vincent and the Grenadines,North America,Kingstown
Samoa,Oceania,Apia
Serbia,Europe,Belgrade
South Africa,Africa,Pretoria
Spain,Europe,Madrid
Sri Lanka,Asia,Sri Jayewardenepura Kotte
Swaziland,Africa,Mbabane
Switzerland,Europe,Bern
United Arab Emirates,Asia,Abu Dhabi
United Kingdom,Europe,London
